"","text"
"1","   learnt  travelling  south korea   pandemic  "
"2","bighitter  read     idiot   travelling   pandemic               shut  fuck  lol"
"3","  tfwrail train  travelling  birmingham  holyhead    carriages  jammed  people  toilets          global pandemic    strain spreading    poor service  dangerously irresponsible"
"4","mattgallowaycbc  call  thick    travelling   pandemic    leaders  exacting  example  taking stringent steps  halt  spread  closing boarders instead  implanting useless amp chaotic rules guess  leadership     "
"5","celinegounder  testing requirements  travelling   pandemic  incubation period   short people   tested negative hours     time  boarded  flight  test positive celinegounder"
"6","booshmeister    oh  dont      mid size suvs   set     ltpickup truckgt yeah im travelling    cargo     rain compact suv     jetta reserved  month  advance pre pandemic   "
"7","bd sabcnews enca hey cyril     job   vax salesman  travelling  tax payers money peddling   pandemic vax    phuktard dicktator mates"
"8","byoung wholemarsblog omicron   spread    vaccinated travelling individuals  countries  don allow unvaccinated  travel  narrative  unvaccinated causing  pandemic   stop  society digests "
"9","travelling   pandemic  fcking simpathy   "
"10","telegraphtravel travelling   pandemic  fcking simpathy  "
"11","pilgrimfarms cchisu cbcnews    choice  wasnt due   lack  health care  canada   original comment  inferring people travelling   pandemic    prepared   eventualities bitching    follow  guidelines coming home  ridiculous"
"12","girlwestcoast masamonae globalnews travelling   third world country  africa   pandemic  severe dietary health issuesyeah okay sympathy lost"
"13","birlios    privilege  travelling internationally   global pandemic    nations grounded  whined   precautions      safe"
"14"," weeks ago travelling   pandemic  crazy annoying    booking hotels  train seats"
"15","birlios iananywhere yup  ve     spend        country    travelling    middle covid   near    pandemic  accepting  risks"
"16","   hold  country accountable financially   massive virus pandemicnot speaking  sooner etc   human   accrue  suffer  costs ppl   robbed paying   teststravelling etcamppoorest wno phones etc sufferagainthe "
"17","piersmorgan  mean    kept shrieking  people travelling   pandemic    holiday yourself twice   pandemic    kept shrieking  mass gathering     football  people youre   virtue signaling mouthpiece"
"18","wbuxtonofficial focus   travelling     pandemic   huge bonus   book   traveling   mail reason  spreads   doing    actually helling   pandemic"
"19","   au pair travelling  germany  wales   pandemic    community  cold water dipping wildswimming "
"20"," flexibility   anytime  especially   travelling   pandemic     "
"21","fairyfairhurst realdenisewelch   own fault  travelling     middle   pandemic maybe shes learned  lesson "
"22","bbcbreakfast bbcpolitics  travelling abroad   pandemic    necessity   people     "
"23","  stop  gayz travelling   global pandemic    plane tickets  vinyls  love      solely responsible   travel industry economy  "
"24","jewelsdoyle  spouted       travelling   pandemic "
"25","wbuxtonofficial        travelling   pandemic"
"26","hey redhunttravel   tell   started   travel company     else    fun   middle   pandemic hope  actually start travelling     catch   "
"27","mental   government  profiting   pandemic       test   uk  fine   send    free     re travelling    buy   test kit   friends randox  multiple mps   stake "
"28","telegraphtravel telegraph  justified  complain  social costs  travel   type  increasedbroader spread   pandemic   internalised   individuals travelling testing helps reduce  social costs  actually  sort  travel offset tax  "
"29","leechih globaltimesnews wta  happened   travelling  hubei   don      hubei   tourism  million people  died   global pandemic     controlled  ground zero  beijing intentionally     cash   ppe monster"
"30","ahindinews donanantsingh   bjp central govt failure  country  facing pandemic rises shame  modi govt bjp govt didnt closed airports  allowed travelling passengers  enter   testing  govt     bjp central govt  busy witj elections campaigning"
"31","travelling   international pandemic      fainthearted packs traveltuesday   socialmedia"
"32","mlarksmith im    crazy  traveling   pandemic maybe   reach  safe stage    ill   travelling  home"
"33","cant believe  am actually travelling outside bangalore   st time   pandemic  time  teach  bunch  super enthusiastic pg diploma applied theatre students  appliedindia appliedtheatre theatreineducation appliedtheatreinindia pandemictravel"
"34","andrewt morning andy   understand  discomfort  travelling   busy train customer safety  remained  top priority  ours throughout  pandemic   continue     transform  wales  borders network    run services   wasnt safe   soned"
"35","      thru  pandemic mightve actually  harder    usual worldtravelling routine maybe   physically  mentally    alert providing nonstop content thru   anxieties amp uncertainties mustve  exhausting"
"36","  qantas enforcing  expiry due  months inactivity   pandemic   airlines   doing  utterly stupid   welcome people   travelling qantas qantasff fuckqantas"
"37","muscmaker akheriaty kksheld         matters     global pandemic     travelling internationally    cdc recommends eg measles vaccine doses    weeks  departure   protected"
"38","   travelling abroad   pandemicwhat  wrong   simonenglish people   stupid  feel  entitledthey    able  leaves  homes    country"
"39","bernamatv     hold election  pandemic  jail term   hold   hold ensure  travelling  east  west  mth elections"
"40","bbcworld    travelling abroad  england     changes  testing requirements      pay   test amp  moan   additional cost  chose    holiday  pandemic   british tax payer"
"41"," perks  travelling   pandemic   active variant  concern  guess"
"42","  stay safe  travelling   pandemic  vital concerns   traveller gtgt ascottstarrewardsmembershipprogramme discoverasr "
"43","mattgallowaycbc  struggle    sympathy   travelling   continents   pandemic  mean   try  stay  north america"
"44","dadstanich yep born  raised lol yeah     time travelling   pandemic  yeah normally  test   free  cheap depending         travel     thats expensive   free"
"45","depresses   im  months   havent  travelled  ive    fear  travelling due     look   sexuality    pandemic   opportunity  ive        cant wait  start   journey  "
"46","hi niabbot listening   talking  simoncalder   forget theres  global pandemic global   spreads  people travelling  foreign holidays   luxury  travel industry    care  profits  peoples health "
"47","packing impahla  day  travelling   real pandemic"
"48","drewlawdesign travelling   pandemic "
"49","strombo    happy  app       oh    fixed   pandemic   started travelling  "
"50","tuonanh nooo   curious     possibility       pandemic     gonna   wait        lenient    attempt travelling  bts "
"51","      mj musical   travelling   york  gonna  difficult   pandemic "
"52","globalbc  sympathy   canadian dollar    spent  try  arrange     home travelling   pandemic     poor medical system  raging pandemic  foolish   capital  media   ridiculing   trying sympathy"
"53","reedcurtis travelling   middle  pandemic     reconsider particularly   light  omicron spreading stay home  stay safe"
"54","  covid pandemic particularly  travel restrictions prevented people  travelling   miles   homes  canal towpaths   vital lifeline  city dwellers seeking  connect  nature canalmagic urbanregeneration eurocities ctopley "
"55","fursiers britishairways  shouldnt  travelling   pandemic serves   "
"56","tobystephensinv wait   omicron suddenly     people  travelling abroad     lost  wife     sorry   people  authorities  action  responsibility   beginning   pandemic  wouldn    situation"
"57","chrisobrien flossybball dying      country     travelling   pandemic negative pcr  negative antigen test   stuck    rapier wit  handsome "
"58"," days    comes   close    started slowly    travelling    damages  pandemic  inflicted  tourism  imma    somehow happen  planned "
"59","lots  people     managed     films  read      short answer   pandemic  increase   normal averages  travelling  family   socialising films  books  escapism love   miss   stuff"
"60","cbcnews    canadians   stuck  south africa  ottawa suspended travel   country  neighbouring countries    week ago    risk travelling   pandemic suck   buttercup  "
"61","    longdistance flight    forget   travelhygiene habits rest  head   tips instead   "
"62","kathrynmathias supriyadwivedi     angry   twitter warriors   judgmental  canadians   media   stuck  south africa due   multicountry flight bans    government restrictions  travelling      pandemic travel protocols maintained"
"63","ctvqp    travelling   pandemic dont whine  delays"
